Indonesia,Simalungun
dikutuk,ipapa 
dikutuk,isapata 
dilarang,isarang 
diletakkan,itampeihon
diletakkan,itampeihon 
dilewati,ilaosi
dilewati,ilaosi 
dilihat,ididah 
dilihat,itingkir 
dilihat,itonggor
dilihat,itonggor 
dilipat,ilulun 
dilukis,ilukis 
dimakan,ibonjang
dimana,ja
dimandikan,itulbasi
dimandikan pakai bunga,itulbasi 
dimarahi,nang
dimasukkan,iparimbagashon
dimasukkan dalam hati,iparimbagashon 
dimiringkan,ipaseder 
dimulai,ipungkah 
dimuliakan,iparmuliahon
dinaikkan,ipanaik
dinasihati,ilumba
dinasihati,ilumba 
dinding,dingding
dinding,rib
dingin,bongah
dingin,borgo
dingin,borgoh
dingin,torusuk
dingin (yang meresap),torusuk
dinihari,langatlangat
dioles,ilapu 
diolesi,isosahi
diolesi,isosahi 
dipadatkan,isosoti 
dipagut,ipanggur
dipagut,ipanggur 
dipahat,ituhil
dipahat,ituhil 
dipaksa,iholholi
dipaksa,iholholi 
dipanggang,ipanggang
dipanggang,ipanggang 
dipanggil,itaur 
dipangku,iabing
dipangku,iabing 
dipangkukan,iabinghon
dipangkukan,iabinghon 
dipangkukan,iampuhon
dipangkukan,imapuhon
dipantangkan,ipantanghon
dipantangkan,ipantanghon 
dipasang cincin tambatan tali di hidung,ihalihir
dipatahkan,idopok 
dipatok,ipantuk 
dipatuk,ipagut
dipatuk,"ipaguthon 
"
dipatuk,ipangkur
dipatuk,"ipangkur 
"
dipatuk,isotok 
dipayungi,isaongi
dipayungi,isaongi 
dipegang,ipogang
dipegang,ipogang 
dipeluk erat,isotol 
dipeoti,ipamambebeot
dipeoti batur,ipamambebeot 
diperam,iporam 
diperam,iranuh 
diperbaiki,ipaturei
diperbaiki,ipaturei 
diperbodoh,bolok 
dipercaya,ipahamot
dipercaya,"ipahamot 
"
dipercepat,pagirah
dipercepat,pagirah 
diperjelas,ipatangkas 
diperkarakan,ipaharahon
diperkarakan,ipaharahon 
dipermalukan,ipaila 
dipermudah,lambalamba
dipetik,iputey
dipetik,itilpak 
dipi jak,ilanja 
dipijak,idogei 
dipijat,ialud
dipijat,ipisat 
dipijat,luntei
"dipijat; diurut bagian	tubuh	untuk melemaskan otot sehingga peredaran darah lancar",luntei
dipijatkan,ialudhon 
dipikir,iagan
dipikir,iagan 
dipikul,lunja
dipikul; memikul,lunja
dipilih,itodoh
dipilih,itodoh 
dipintal,iudor 
dipuja,ipajuh
dipukul,igocal 
dipukul,ilonsing 
dipukul,isaik 
dipukuli,italtal 
dirampok,ipangus
dirampok,ipangus 
dirapatkan,iardahkon 
diregangkan,ipaganggang 
diremas,igamol 
diremas,"iponjal 
"
diremas,pitil 
diretas,itastas 
diri,diri
diri sendiri,angkulu
dirimkan,"itongoskon 
"
disalin,ialimko
disalin,ialimko 
disambut,ialoalo
disambut,ialoalo 
disampaikan,idashon 
disampaikan,ipasahat 
disandarkan,"isandeihon 
"
disapih,iampul 
disapu,itunila 
disaring,"isayoh 
"
disayat,isayat
disayat,isayat 
disebut,isobut 
disegani,isogani 
diselesaikaan,idobhon
diselesaikaan,idobhon 
diselimutkan,isabei 
disemaikan,"isameihon 
"
disembah,isombah
disembah,isombah 
disembam,isombam 
disembam,isumsam
disembam,isumsam 
disembelih,ihoyok 
disembelih,isekoh
disembelih,isekoh 
disembelih,isigoh
disembelih,isigoh 
disembelih,itagil 
disembunyikan,ipabuni
disembunyikan,ipabuni 
disembunyikan,ipojonhon 
disembunyikan,isunihon 
disengat,isorod 
disentak,irota 
disentri,rojan
disentuh,itumbuk
disentuh,itumbuk 
disepuh,"isopuh 
"
diserak,isabur 
disergap,ipolgap
disergap,ipolgap 
disergap,itingkup
disergap,itingkup 
disimpankan,ipaalimihon
disimpankan,ipaalimihon 
disindir,isember 
disini,jon
disiram,ipispi 
disisip,iulbuk 
disitu,jin
disodorkan,isurdukhon
disodorkan,"isurdukhon 
"
disokong,itungkol
disokong,itungkol 
disuapi,isulangi 
disumpit,iultop
disumpit,iultop 
disunat,isunat 
disuntik,iturgis
disuntik,iturgis 
ditaburi abu,malbu
ditadah,itedek
ditadah,itedek 
ditagih,itunggu
ditagih,itunggu 
ditahan,itaban
ditahan,itaban 
ditahan,itehan
ditahan,itehan 
ditahbiskan,isamojai
ditahbiskan,"isamojai 
"
ditambah,itambahi 
ditampar,ibapbap
ditampar,ibapbap 
ditampar,itampar
ditampar,itampar 
ditandu,irandei 
ditanggung,itanggung
ditanggung,itanggung 
ditarik,"hela  
igeret "
ditarik,igejes 
ditarik,itarik 
ditating,"rabing 
"
ditebas,itobas 
ditegur,isapa 
ditegur,isisei 
ditembak,itembak 
ditenggelamkan,iunobhon 
diterangkan,subut
diterima,jalo 
diterjang,itanjak 
diteruskan,inunut
ditetak,itanggam
ditetak,itanggam 
ditimbun,itimbun
ditimbun,itimbun 
ditimbun,rob 
ditimpa,itipa 
ditinggalkan,"itadingkon 
"
ditipu,ihilang 
ditipu,ipogo 
dititip,itonja 
dititipkan,itonjahon 
ditiup angin,pur 
ditolakkan,lomban
ditombak,itumbak 
dituangkan,ituanghon 
dituduh,itukas
dituduh,itukas 
ditumbuhi,marpoyoni
ditumbuhi rumput,"marpoyoni 
"
ditumbuk,itondol 
ditumpahkan,idurhaphon
ditumpahkan,idurhaphon 
ditunggingi,ibungkili 
ditunggingkan,ipabungkil 
ditunggu,ipaima
ditunggu,ipaima 
ditunjuk,ituduh
ditunjuk,ituduh 
ditunjuk,itulduk 
diturunkan,ipaturun
diturunkan,ipaturun 
ditutup,irongkob
ditutup,irongkob 
ditutupi,isangkobi
ditutupi,isangkobi 
diuji,iuji 
diurut,ialut 
diusir,burnang
doa,tonggo
dobkossi,manggurapas
dobkossi bah moru,manggurapas 
domma lotih iahap ham manduda omei ai? kamu sudah letih menumbuk  padi itu?,lotih
dongkol,rampus
dorong,juar
dorong,marsionjaran 
dorong,onjar
dorongkan,juarhon 
dosa,dousa
dua,dua
dua,nanjadihan
duduk,duduk
duduk,gop
duduk,gukguk
duduk,hundul
duduk,tambam
duduk goyang,lenggang
duduk goyang lutut,lenggang
duduk lama,palguk
duduk lama- lama,palguk
duduk; ,duduk
duit lama,gobang
duka,pusok
dukacita,horu
duku,duku
dukun,datu
dukun,sibasoh
dukun wanita,pol
dulang,sapah
dulang,tabak
dulu,sapari
dulunya,hinando
dungu,longah
dunia,dunia
duri,duri
duri,suga
duri daun rotan,limbur
duri ikan,ongkak
durian,durian
durung,durung
durung; tangguk (keranjang dari rotauntuk menangkap ikan); ,durung
dusta,bual
dusta,bualan 
dusta,goak
dusta,gocak
dusta,guak
dusta,ladung
dusta,lamis
dusta,omou
dusta,porsou
dusta; bohong,omou
dusta; bohong; ,lamis
ejan,odon
ejan (orang yang hendak melahirkan agar bayi- nya keluar),odon
ejek,ongon
ejek,tugan
ekor,ihur
elak,sangkah
elang,garo
elang,haluhui
elang,kalukui
elang,lali
elastis,edet
emas,omas
embik,behek
embun,hombun
embun,ombun
embun,sabun
emoh,ehi
empat,ompat
empedal,bilalang
empedu,pogu
enak,depek
enak,helpu
enak,lokut
enak,sodap
enak,taboh
enak; sedap,helpu
"enak; sedap, lezat (tentang rasa); nikmat, me- muaskan",lokut
enam,onom
enau yang tidak lagi,tail
enau yang tidak lagi menghasilkan nira,tail
encer,enser
endap,tanak
endus,usta
engkau,handian
erat,gopos
erat,poltik
fajar,sareisei
fajar,sindar
fitnah,roga
fitnah,sagi
gaba,gaba
gabung,gumul
gabung; ; dibulatkan,gumul
gadai,gadei
gading,gading
gagal,sambang
gagang,pasi
gagang,pordah
gagang,songkir
gagang jerat,baor
gagang tombak,libut
gagap,halot
gagap; tersendat- sendat bicaranya,halot
gajah,gajah
gaji,gaji
gaji,upah
galah,hayankayan
galak,garang
galak,odih
galang di,tantoban
galang di atas tiang tempat melengketkan lantai,tantoban
gali,bahar
gali,huar
gali,hurak
gali,huruk
gali,ongkal
gali,pahar
gali,tahur
gali,uhal
gali;dulang;ipaharvdigali,pahar
gamang,gamang
gambir,gambir
gampang,urah
gandeng,kanting
gandum,gandum
ganggu,daltu
ganggu,garjou
"ganggu; ; manggarjou  v	mengganggu",garjou
gangguan,garjouan
gangguan,garjouan 
ganjil,janggil
ganjil,pisik
gantang,bantai
gantang,tumba
gantang (alat untuk mengukur),bantai
ganti,umban
gantinya,hapilinan
gantung,gantung
gantung,paok
gantung (digantung diatas batu),paok
"gantung, tergantung",embung
garam,garam
garam,sira
gareng,pit
garis,garis
garis,gorit
garis,lus
garu,gaer
garuk,garut
gasing,gasing
gatal,ajat
gatal,gajom
gatal,gayom
gatal,gulimut
gatal,gumayom
gatal,huna
gatal,rintop
gatal seluruh tubuh seperti di jalari tungau,gumayom
gatal tangan,hurpang
gatal tangan; geratil,hurpang
gawat,jahang
gayung,gayung
gedung,sikolahon
gegas,egas
gelak tawa,mehel
gelak tawa; terkekeh-kekeh,mehel
gelang,golang
gelanggang,galanggang
gelap,golap
gelap,pojan
gelap gulita,impot
gelap gulita,potir
gelas,galas
geledah,rukas
geleng,upir
gelepar,gurapas
geliat,gedat
geliat; ,gedat
gelincir,jiris
gelisah,balinsah
gelisah,busisa
gelisah,gensang
gelisah,isah
gelisah,mitiltil
gelisah,ngisan
gelisah,purikas
gelisah gente [gEntE] n jangkrik betina genteng [gEntEG] n genteng,gensang
gelisah; cemas,isah
gelitik,gitik
gelitik,itik
gelombang,Ry
gelombang; ombak,gilumbang
gemar,hoji
gemar,sormou
gemar; suka,hoji
gembala,parmahan
gembala parmahanan [parmahanan] n kandang,parmahan
gembira,dengan
gembira,megah
gembira,molos
gembira; dengan-,dengan
gembok,gambal
gembung,beniat
gembung,bonsong
gembung,buniat
gembung,gombung
gembung,jogjog
gembung,lining
gembung,murmak
gemeretuk,hurotop
gemerisik,hurasak
gemetar,geber
gemetar,hitir
gemetar,hutur
gempa bumi,lalou
gempar,gogor
gempar,gompar
gempar,goyor
gempar,guntar
gempar,luetu
gempar,lutu
gempar; ribut,luetu
gemuk,gomuk
gemuk,gulmot
gemuk,mombur
gemuk,mug
gemuk botol,goyok
gemuk pendek,pongok
gemuk pendek,tobtob
gemuk sekali,genos
gemuruh,rutuh
genap,kuhup
gencat,dalih
gencat; terhenti,dalih
gendering,dorang
gendong,ambit
gendong,hantul
gendong,ombah
gendong,tangking
gendong pakai kain,mangombah 
genggam,jomak
genggaman tangan terhadap nasi,sohak
genit,hitil
genit,leseh
genit (bergaya- gaya); banyak tingkahnya; keletah,leseh
gentar,dujung
gentar,hitir
gentar; takut,hitir
genteng,genteng
genting,itil
gerak,husor
gerakan,tahuk
geram,ganos
geram,gonos
gerbang,horbangan
gereja,gareja
gerenda,pungga
gerenda punggar [puGgar] a samar-samar punggur [puGgur] n cabang  kayu,pungga
gergaji,sihit
gerimis,paris
gerimis,rimis
gerimis,rumis
gerimis ; hujan rintik-rintik,paris
gerobak,gurubug
gerobak guruh [guruh] n guruh gurung [guruG] n punggung,gurubug
gertak dengan,gorba
gertak dengan suara,gorba
gesa,haput
gesek,mogos
gesek,upam
gesek (ke tanah),upam
geser,eser
geser,mosor
getah,damar
getah,gotah
getah damar,damar
getah perekat,pulut
getar,danggor
getar; ,danggor
getir,intir
getuk,gotuk
gigi,ipon
gigi anak,totok
gigi anak-anak,totok
gigi atas dan,nges
gigi geraham,ngadol
gigi seri,gugut
gigi taring,sait
gigi yang ber,padehal
gigi yang ber- tumpuk-tumpuk tumbuhnya,padehal
gigih,goloh
gigit,bulbul
gigit,doit
gigit,gigit
gigit,harat
gigit,horut
gigit,marsiharatan 
gigit,untal
gigit (menggigit kain atau baju biasanya pada anak-anak),untal
gigitan,ngat
gila,hawar
gila,podou
gila,pualon
gila,ratou
gila,titi
giling,giling
giling halus,lumat
giling halus;  halus,lumat
giliran,horin
golok,goluk
golok,gupak
gondariong tak rapi,jurab
gondok,barut
gondokan,baruton
gondrong,jurab
gong,mungmung
gong,ogung
gonggong,umbal
goni,guni
gopoh,jepa
goreng,gorang
goreng; ,gorang
gores,jei
gores,turih
goresan,turihon
gosok,asa
gosok,asah
gosok,gosok
gosok,gusok
gosok,husuk
gosok,ugus
gosok; ,gusok
gosok; asah; ,husuk
gotong royong,royong
gotong- royong,haroan
goyang,dagor
goyang,dugur
goyang,duyung
goyang,muyog
goyang,unggal
goyang,unggat
goyang,unjal
gua,liang
gubuk kecil di,sopou
gubuk kecil di ladang atau sawah,sopou
gudang,gudang
gugup,bebet
gugup,gagap
gugup,gaot
gugup,motot
gugur,molei
gugur,tangtang
gugus,rurus
guit,guit
guitkan,"guithon 
"
gula,gula
gulung,golung
gulung,hulhul
gulung,pang
gumpal,gumbal
gumpal,lempeng
gumpal; ,gumbal
gumpal; ; satu gumpal,lempeng
gumul,gumpul
guna,ayakan
guna,gagan
guna,guna
guna,labu
guncang,gunsang
"guncang, berguncang",gunsang
gundu,guli
gundul,gepol
gundul,pal
gunting,rasip
gunung,dolog
guru,guru
guruh,guruh
gusi,hasiratan
gusi,sirakan
gusi,siratan
ha,ha
habis,ambis
habis,angkis
habis,bois
habis,danga
habis,dogus
habis,gondol
habis,horus
habis,punah
habis,ragas
habis,tagas
habis,tungkal
habis saat,mampul
habis saat pohon enau disadap,mampul
habiskan,ahar
habiskan,horushon 
habiskan,ompot
hadap,hadap
hae,kae
hafal,apil
hafalan,apilan
hai,ei
hajat,hajat
hak,hak
"hak;kuasa;marhak	v		berkuasa;	berkuasa",hak
hal,partorusuk
hal,pinarsahapkon
halal,hanal
halaman,alamen
halangan,guba
halangan,lolah
halangan,sangkat
halangan yang datang tiba-tiba,guba
halilintar,porkas
halus,alus
halusi,hupas
hambar,langu
hambat,adang
hambat,ambat
"hambat, rintangi: ulang olat ho parlahoni jangan rintangi ke- pergiannya",olat
hambur,gerda
hambur,sabur
"hambur, dibuang- buang",gerda
hamil,bejeg
hamil,hamil
hampa,lapung
hampa (padi); tidak bernas,lapung
hampir,ampir
hampir,hapir
hampir; dekat,hapir
hampiri,hapiri 
hancur,dantur
hancur,gotom
hancur,hansur
hancur,lamur
hancur,lantur
hancur berantakan,pugar
hancur luluh,lompur
hancur luluh,ropuk
hancur;  hancur,dantur
handalan,geleng
hangat,malas
hangus,hangus
hangus,monsong
hangus,mosong
hangus,puntung
hangus,rasog
hantam,bidas
hantam,dogap
hantar,darag
hantu,babeng
hantu,begu
hantu,beheng
hanya,hansa
hanya,mando
hanya,naman
hanya,pitah
hanya,tang
hanya; saja,hansa
hanyut,ayup
hanyut,boar
hanyut,mayup
hapus,apus
hapus,sasap
hapus,usap
hapus; usap; ,apus
haram,haram
haram (anak),gampang
harap,arap
harap,tingkis
harapan,abir
harga,arga
harga,marborgokkon
harga diri,marborgokkon 
hari,ari
hari,partubuh
hari keempat dalam hitungan adat Simalungun,mudaha
hari ketiga,anggara
hari ketiga dalam kelender simalungun,anggara
hari minggu,minggu
harikelimabelasdalamsetiapbulan,tula
harimau,begu
harta,antikan
harta,arta
harta yang dimiliki,sinadongan
harum,mopuk
harum,morum
harus,maningon
harus  patut,maningon
hasta,asta
hasta,kolag
hati,maruhur 
hati,pae
hati,pangkei
hati,uhur
hati yang tulus,saluju
hati-hati,pangkei
he,hei
hebat,sanggou
hei,ale
hemat,gipo
hemat,hemat
hembus,ombuk
hembus,pus
hembus,uos
hembus (tentang angin),uos
hendak lekas,gilgilan
henti,honti
henti,soh
hentikan,diah
heran,himong
heran,longang
"heran, bengong",longang
heran; bingung,himong
Hg sayur,leo
hiasan,sambahou
hiasan,sorminan
hiasan bagian samping dan belakang rumah yang biasa dilukis,sambahou
hiasan depan biasanya  dilukis ornamen,sorminan
hiasan yang,gorga
hiasayang berupa dua atau tiga dimensi,gorga
hidangan,ayapan
hidung,igung
hidup,idup
hidup,manggoluh
hijau,ratah
hijau,siratah
hilang,ambok
hilang,bonoi
hilang,likou
hilang,magou
hilang,manggou
hilang,masab
hilang,sibou
hilang:,sabou
hilir,kehen
hilir,tamporan
himpit,impit
hina,bilei
hina,dorun
hina,hiri
hina: darsat dassa palahoumu hina kelakuanmu,darsat
hindar,simbil
hingar,dopang
hingar,gobag
hingar,hulasak
hingar,hurasak
hingar- bingar,hurasak
hingar-bingar,dopang
hingar-bingar,hulasak
hingga,singgan
hingga,sintig
hinggap,sogop
hinggap,tangkol
hiruk pikuk,dengang
hirup,irup
hisap,onsop
hitam,birong
hitam,pajom
hitam,sibirong
hitung,bilang
hitung,etong
hormat,hamat
hormat,hormat
hormat,jombut
hormat,lai
hormat,sangap
hormat,upak
hujan,haba
hujan,udan
hujan batu,ambolas
hujan gerimis,maris
hujan gerimis,pinaras
hukum,hukum
hukum,uhum
hulu,luan
hulu,suhul
huruf,habirotan
huruf,hajoringan
huruf  keenam  belas dalam aksara Simalungun (dari surat sapuluh siah),la
huruf batak yang menukar  u,habirotan
huruf kedelapan,ja
huruf kedelapan dalam aksara Simalungun (dari surat sapuluh siah),ja
huruf kedua,ha
huruf kedua,ka
huruf kedua belas dalam,ta
huruf kedua belas dalam aksara Simalungun (dari surat sapuluh siah),ta
huruf kedua dalam  aksara Simalungun (dari surat sapuluh siah),ka
huruf kedua dalam aksara Simalungun (dari surat sapuluh siah),ha
huruf keempat belas,ya
huruf keempat dalam,pa
huruf keempat dalam aksara Simalungun (dari surat sapuluh siah),pa
huruf keenam dalam,wa
huruf keenam dalam aksara Simalungun (dari surat sapuluh siah),wa
huruf kelima belas,nga
huruf kelima belas dalam aksara Simalungun (dari surat sapuluh siah),nga
huruf kelima dalam,na
huruf kesebelas dalam,ma
huruf kesebelas dalam aksara Simalungun (dari surat sapuluh siah),ma
huruf kesembilan,da
huruf kesembilan dalam aksara Simalungun (dari surat Sapuluh Siah),da
huruf kesepuluh dalam,ra
huruf kesepuluh dalam aksara Simalungun (dari surat sapuluh siah),ra
huruf ketiga belas,sa
huruf ketiga belas dalam aksara Simalungun (dari surat sapuluh siah),sa
huruf ketujuh belas,i
huruf ketujuh belas dalam aksara Simalungun (dari surat sapuluh siah),i
huruf ketujuh dalam,ga
huruf ketujuh dalam aksara Simalungu(dari surat sapuluh siah),ga
huruf pertama dalam aksara Simalungun (dari surat sapuluh siah),Adjective
hurufkelimadalamaksaraSimalungun(darisuratsapuluhsiah);yang;menunjukkankondisisesuatu,na
hutan,harangan
hutan,talun
hutan,tombak
i,"markohak 
"
ia,bana
ia (orang yang dibicarakan),bana
ia mandarag omei hu jabu menghantar padi ke rumah,mandarag 
ialah,aima
iba,ambil
ibu,inang
ibu,puang
ibu jari,ompu
ibukota provinsi Sumatera Utara,medan
ijuk,aribut
ijuk,enus
ikan,deke
ikan,dengke
ikan,gampual
ikan,halui
ikan,ihan
ikan,salenggam
ikan air tawar,haporas
ikan baung,baung
ikan gabus,badou
ikan gabus,itok
ikan gampual,gampual
ikan jurung,insor
ikan lele,sibahut
ikan mas,arsik
ikan mas yang dimasak dengan bumbu  khusus,arsik
"ikan yang dicincang halus, dicampur dengan lengkuas dan serai",salenggam
ikat,baringka
ikat,borkos
ikat,hatimulmul
ikat,ihot
ikat,rahut
ikat,sangkut
ikat,tambat
ikat,untam
ikat (tentang hewan piaraan),untam
ikat erat,bariang
ikat mulutnya,huntam
ikat pinggang,alilingei
ikat pinggang,bonting
ikat pinggang,gondit
ikat pinggang (yang di jalin dari  atau  helai benang berwarna- warni,hatimulmul
ikat pinggang yang terbuat dari tembaga,alilingei
ikat; mengikat;  meng- ikat,lahat
ikat;tempatnyawaberpaut,ihot
ikatan,rahutan
ikuntukan,irikhon
ikuntukan,irikhon 
ikut,dihut 
ikut,ihut
ikut,ihut 
ikut sertakan ihut,"percayaan Simalungun 
paihut "
ilalang,rih
ilmu bertinju,pidoras
ilmu hipnotis,bogang
ilmu sihir,ajibeot
ilmu sihir (yang membuat mulut miring),ajibeot
ilmu sihir yang,pukou
ilmu tidak benar,lasam
ilmu untuk melemahkan dan menundukkan orang,susa
ilmu yang,ajiturtur
ilmu yang membuat tubuh gatal-gatal,ajiturtur
ilmu yang tidak ada kebenarannya,lasam
impian,nipion 
Ind polisi,pulisi
Ind roti,roti
induk,indung
induk surat ke,ba
induk surat ke  (dari surat sapuluh siah),ba
indung,lampusung
influenza,pulensa
ingat,dingat
ingat,ingat
ingat,ingot
ingat,singat
ingatan,ingoton
ingatan,ingoton 
ingatan,pardingat 
ingin,gio
ingin,impol
ingin,ra
ingin,sura
ingkar,engkar
ingus,sungui
ini,adon
ini,andon
ini,on
inilah,gelah
injak,rojat
intai,intei
intai,onggop
intan,intan
intip,intip
ipar,kaha
ipar,lae
ipar,lawei
irama,lubuk
irama; dendang; ,lubuk
iri,subil
iring,dihut
iring,hentor
iring,irik
iring,iring
iring,odor
iring; ,hentor
iringan,odoran 
iris,horot
iris,iris
isap,insop
isapan,insopon 
isi,isi
isi,nahi
isi,nai
istirahat,onjol
istirahat,saran
istri,nanialop
istri,parinangon
istriraja,puang
itik,itik
itik; bebek,itik
itu,aday
itu,ai
itu,andin
itu,ay
itu,in
itu,inon
itulah,andin
itulah,indo
iya,iah
izin,lopas
jadi,jadi
jadi,saud
jaga,jaga
jaga,jaru
jaga,ramot
jaga,rorot
jaga; asuh,jaga
jagung,jagul
jahat,ilat
jahat,jahat
jahat,janggal
jahat,jungkat
jahat; sangat jelek,janggal
jahe,poge
jahe,rimpang
jahit,jait
jahit,jalujur
jahit,jarum
jaja,ajuk
jaja,aru
jaja; jajakan,ajuk
jala,jala
jala besar,ulangan
jalan,abalan
jalan,dalan
jalan,dalan 
jalan,dalanan
jalan,mawat
jalan,pamontasan
jalan,sulelet
jalan air,paluh
jalan cepat,entes
jalan raya,pasar
jalan raya; jalan besar,pasar
jalan setapak,abal
"jalan setapak (yang dilalui		oleh		manusia)",abal
jalan setapak yang,bahal
jalan setapak yang biasa dilalui manusia sehingga rumput-rumput di jalan tersebut mati,bahal
jalan yang harus dilewati,dalanan 
jalang,jalang
jalang;tunasusilajalir[jalir]vmeleleh;menetes,jalang
jalan-jalan,sulelet
jalan-jalan; berjalan-jalan (untuk yang menjaga),mawat
jalar,julur
jalar; rayap; ,julur
jalin,pikas
jalur,galur
jalur,jalur
jalur air di bawah,ponot
jalur air di bawah tanah,ponot
jalur; kolom,jalur
jamah,romak
jamban,jamban
jambu,jambu
jambul,jumbak
jambul,ranggitgit
jambul pada ayam betina,ranggitgit
jambul;rambutdikepalasebelahdepan,jumbak
jamin,kaho
jamin,mapit
jamin; menjamin,mapit
jamu,tawar
janda,balu
janda (ditinggalkan oleh suami atau istri karena salah seorang meninggal dunia),balu
jangan,ulang
janggut,jabek
janggut,jambek
janggut,jenggot
janggut; jenggot,jabek
jangkrik,bingkarung
jangkrik,hirik
jangkrik betina,gente
jangkrik hutan,bingkarung
janji,bagah
janji,buhul
janji,padan
janjikan,"bagahi 
"
jantan,agam
jantan,jantan
jantan,ribu
jantan,tunggal
jantung,jantung
jantung,pusu
jantung,santung
jantung (ten- tang pisang),santung
jarak,jingkang
jarang,holang
jarang,jantang
jarang,jarang
jarang,lahang
jarang,marpakholangi
jarang,ranggou
jarang,rangrang
jarang; - jarang,holang
jari,jajari
jari,jari
jari,ramukon
jari,tuamalang
jari,tuduh
jari kelingking,didihil
jari manis,ambarita
jari manis,parmanis
jari manis,sijumekjek
jari telunjuk,tutuduh
jari tengah,partongah
jari tengah,situalang
jari tengah,tuamalang
jari tengah,tutualang
jari tengah tutuduh [tutuduh] n jari telunjuk tutuhuyon [tutuhuyon] n sejenis,tutualang
jari-jari,jajari
jarum,jarum
jarum,tutungei
jasa,ombou
jatah,rupeian 
jatuh,ambur
jatuh,buh
jatuh,dumpang
jatuh,gopa
jatuh,ompas
jatuh,talbug
jatuh,talpung
jatuh  tertelentang,harsat
jatuh (semua),talpung
jatuh (tidak disengaja),ompas
jatuh terpelanting,magijig 
jatuh tiba,albas
jatuh tiba-tiba,albas
jauh,dao
jauh,daoh
jauh,lejep
jauh berbeda,pandir
jauh sekali,liput
jauhberbeda,pandir
jawab,balos
jawab,jabab
jawab; balas,jabab
jawaban,sampang
jawaban kasar,junggar
jawaban untuk,lagi
jawaban untuk panggilan di pemandian laki- laki atau perempuan,lagi
jawaban yang kasarnatau kurang sopan,junggar
jejak,paer
jelaga yang,tanggong
jelaga yang terdapat di periuk atau belanga,tanggong
jelang,maleley
jelas,bojei
jelas,jojor
jelas,talotas
jelas,tangkas
jelas,tedang
jelas,tidak
jelas,tili
jelas,timbas
jelatang,latong
jelatang,lotong
jelatang; sejenis tumbuh-tumbuhan yang meng- gatalkan; jelatang,latong
jelek,sambor
jembut,janggut
jempol,indung
jemur,dian
jemur,hirei
jemur,hojah
jemur,hoyah
jemur,jomur
jemur,kiah
jemuran,jomuron 
jendela,tingkap
jengger,baringbing
jengger atau pial ayam merah menandakan ayam akan bertelur,jernget
jengger ayam yang merah,jernget
jengkal,jongkal
jengkal; ; ,jongkal
jengkol,joring
jenguk,iligi
jenguk,tungkir
jenis,sibarangan
jenis kain tenun,ragi
jenis kayu yang,mobi
jenis kayu yang berbuah,mobi
jenis keladi yang warnanya hitam dan rasa umbinya enak bila di- rebus,sibarangan
jenis masakan dari,ura
jenis masakan dari daging yang diberikan kepada orang yang sakit agar cepat sembuh,ura
jenis tumbuhan,oma
jenis tumbuhan lalang berdaun tajam bergerigi tumbuh di rawa-rawa,oma
jenis ubi,sihampilis
jentik,jontik
jentik,pohir
jentik (menjentik sesuatu dengan jari tangan),pohir
Jepang,jopan
jepit,apit
jepit,gampit
jepit,hapit
jepit,lisat
jepit; ,gampit
jepit;himpit;lindas,lisat
jepitan janggut,angkip
jepitkan,hapithon
jepitkan,hapithon  
jera,jora
jerami,anggala
jerang,jorang
jerang,tanggor
jerangau,jarangou
jerat,binjora
jerat,jarot
jerat,jobang
jerat,jorot
jerat,rajum
jerat,sambil
jerat,siding
jerat atau perangkap untuk menangkap burung,jobang
jerat; perangkap,jorot
jerawat,dawadawa
jerawat,jarawat
jerawatan,dawaon
jerawatan,dawaon 
jerit,dorak
jernih,lihou
jeroan,sondihi
jeruk,untei
jeruk purut,mungkur
jijik,goyak
Jijik,goyang
jijik,magigi
jika,ambit
jika,anggo
jika begitu,antong
"jika, kiranya",ambit
jilat,dilat
jimat,jimat
jimat,pagar
jimat (penjaga badan),pagar
jin,homin
jin; hantu,homin
jinak,lomuk
jinak,lonap
jingkat,jengkat
jingkat,jingkat
jingkat; ,jingkat
jinjing,hanting
jodoh,rongkap
jolok,anjung
jolok,arjuk
jolok,aruk
jolok,joruk
jongkok,pinggung
jongkok gelap,jongkok
jongkok gelap jongok [jOGOk] a besar pendek,jongkok
jorok,makus
jual,jual
judi,judi
juga,ampa
juga,humani
jujur,pintor
juling,jeleng
juling; kero,jeleng
julur,hurei
julur,sudur
jumput,jomput
jumput; pungut; ,jomput
jung,isang
jungkit,pingkal
jungkit dan mengeluarkan,duhit
junjung,jujung
junjungan,jujungon 
juntai,jerbang
juragan,paromei
jurang,lombang
jurang,luhung
jurang yang,balubu
jurang yang dalam,balubu
juror;tulusikhlas,jujur
kabar,habar
kabar angin,gan
"kabur, buta",rodam
kaca,hasa
kaca;cermin;;berkaca,hasa
kacang,dali
kacang,hasang
kacang,kosong
kacang borongan,borong
kacang tanah,hambili
kacau,deor
kacau,ingor
kacau,sasou
kacau,sehu
kacau,ugei
kadang,sipata
kain,abit
kain,goda
kain,haen
kain,hatirongga
kain,hiou
kain,saput
kain adat,sintakan
kain adat Simalungun yang dibuat untuk menutup keranda ketika mem- bawa mayat ke kuburan,sintakan
kain basahan,basahan
kain basahan (kain yang digunakan sebagai penutup tubuh saat mandi),basahan
kain buruk,sigundal
kain kepala,jungjung
kain lampin,ampan
kain lampin; kain bedung,ampan
kain lap,tualah
