Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
kangkang,hangkang,hakkaG,Noun,"domma, hangkangma tokkin sudahlah, kangkang saja sebentar"
pemurah,hangkei,hakkEy,Adjective,halak na hangkei payah  do lang mambere orang yang pemurah sulit kalau tidak memberi
hangus,hangus,haGus,Verb,rumah ai hangus ipangan apui rumah itu hangus dimakan api
kalian,hanima,hanima,Pronoun,hubani hanima haganupan dakdanakku kalian semua adalah anak-anakku
v mati,hanjal,hajjal,Kasar,domma hanjal si Sormin si Sormin sudah mati
banyak sekali,hanjat,hajjat,Adjective,hanjat do jolma na roh  manusia yang datang banyak sekali
"rata, datar",hanopan,hanOpan,Adjective,tanoh hanopan jenges bani parjumaan tanah rata bagus untuk perladangan
hanya; saja,hansa,hassa,Adverb,ia do hansa mambotoh dia saja yang tahu
menceret,hansar,hassar,Verb,hansar ia nantuari ia menceret kemarin
hancur,hansur,hassur,Verb,bois hansur piring-piring nantuari ondi piring-piring habis hancur semalam itu
kentang,hantang,hantaG,Noun,
jinjing,hanting,hantiG,Verb,ember in hanting malah ase murah mambobanni! ember itu jinjing saja agar mudah membawa- nya!;
bergantungan disebabkan buahnya lebat,hantui,hantuy,Verb,
gendong,hantul,hantul,Verb,anakni kereh ai hantul lalab bani
bosan,haor,haOr,Adjective,domma haor ahu paima hanima aku sudah bosan menunggu kalian
kapak,hapak,hapak,Noun,holi hita mamboli hapak ase manabah hita nanti kita membeli kapak untuk menebang
tebal,hapal,hapal,Adjective,"isini kalapa ai hapal, seng songon na legan kelapa itu isinya tebal tidak seperti yang lain"
rayap,hapang,hapaG,Noun,"na idah dear ope hayu in, tapi dopma ipangan hapang hampit bagas tampaknya masih bagus kayu itu, tetapi sudah dimakan rayap sebelah dalam"
 kapas,hapas,hapas,Noun,
ternyata,hape,hapE,Particle,"ho do  hape na roh ai nokkan, tene? ternyata kamu yang  datang tadi, ya"
rupanya,hapeni,hapEni,Particle,ho do hapeni na dihut ai kau rupanya yang ikut itu
sejenis pohon yang buahnya dapat dimakan,hapesong,hapEsOG,Noun,
sejenis tum- buhan yang tumbuh di atas kayu,hapias,hapiyas,Noun,
potongan ijuk yang tertinggal di pohon enau,hapihapi,hapihapi,Noun,
gantinya,hapilinan,hapilinan,Noun,"lang dapat lada, hapilinan lassina tidak dapat lada, ganti- nya cabai"
hampir; dekat,hapir,hapir,Adverb,hapirni Toba parsahapni bicaranya hampir seperti  bahasa Toba;
jepit,hapit,hapit,Verb,hapithon v jepitkan; manghapit v menjepit; panghapit n penjepit;
"alat yang dipakai untuk mengusir burung di ladang, terbuat dari sepotong bambudibelah-belah, kemudian ditarik-tarik dengan tali hingga menimbulkan bunyi",hapkap,hapkap,Noun,
sejenis kayu,hapolsit,hapOlsit,Noun,
telor,hapor,hapOr,Adjective,
tidak dapat menyebut huruf r,hapor,hapOr,Adjective,
a cepat,hapos,hapOs,Bandar,
"sejenis ikan yang hidup di air tawar, seperti di danau, sungai, dan kolam",haporas,hapOras,Noun,
ringan,happung,happuG,Adjective,
kapur,hapur,hapur,Noun,buat lobei hapur ai ase marpuran ahu! ambilkan dulu kapur itu biar makan sirih aku!;
gesa,haput,haput,Adjective,"halani parlahoni anak haput pakon orang tua karena kelakuan anak, orang tua ikut gesa"
pagar; batas,harad,harad,Noun,bahenma haradni juma ai! buatlah pagar ladang itu!
sibuk,haragatanni,haragatanni,Adjective,horja haragatanni pekerjaan yang sibuk
kerah,harah,harah,Noun,
sejenis kayu,harahkah,harahkah,Noun,
haram,haram,haram,Adjective,sada horja haram itadikkon satu kerja haram ditinggalkan
kandang,harang,haraG,Noun,pabagasma	hu		harang	ai hambing in! masukanlah ke kandang kambing ini!; marharang v berkandang; saharang num sekandang
hutan,harangan,haraGan,Noun,buat lobei hu harangan ai hayu! ambilkan dulu kayu ke hutan itu!;
keranjang,haranjang,haranjaG,Noun,marharanjang v berkeranjang; saharanjang num sekeranjang
banyak bergantungan,harantui,harantui,Noun,"harantui buahni nangka ai, halani bueini buah nangka itu  bergantungan karena banyaknya"
perangkap ikan,haraskaras,haraskaras,Noun,patar pasang haraskaras i bah ai! pasang perangkap ikan di sungai itu!
gigit,harat,harat,Verb,
bubur,harei,harEy,Noun,boli lobei harei kasang ijo ai! beli dulu bubur kacang hijau itu!
peramah,haretah,harEtah,Noun,si Ali haretah pas songon si Badu si Ali peramah pas seperti si Badu
lepas; urai,harhar,harhar,Adjective,nirahutmu domma harhar nokkan yang kau ikat sudah lepas tadi
centong nasi yang terbuat dari kayu dan ber- tangkai pipih (untuk mengaduk nasi dalam periuk),harih,harih,Noun,
tetes- tetes hujan yang turun dari daun-daunan setelah hujan berhenti,harintagtag,harintagtag,Noun,
gotong- royong,haroan,haOwan,Verb,
sumpit kecil yang terbuat dari perut bambu,haronduk,harOnduk,Noun,buat haronduk ai
kesukaan,harosuh,harOsuh,Noun,seng do ai harosuhku bukan itu kesukaanku
kertas,harotas,harOtas,Noun,
tingkah laku yang kurang sopan,harsang,harsaG,Adjective,tongon do harsang	parlahouni kelakuannya memang kurang sopan benar
jatuh  tertelentang,harsat,harsat,Verb,ia nantuari harsat i toruh ai dia jatuh tertelentang semalam di bawah itu
tidak ada nafsu makan,harsi,harsi,Adjective,ahu domma tolu ari harsi aku sudah tiga hari tidak bernafsu makan
susah,haru,haru,Adjective,ahu sonari domma haru mamikirhon  in aku sekarang sudah susah memikirkan itu
tempat perkakas yang terbuat dari bambu,harumbung,harubbuG,Noun,
tampah,harunduk,harudduk,Noun,penampi
 banyak,harunrun,harunrun,Adjective,"harunrun nami sihal tapi seng do baen banyak  kemauan, tetapi tidak terpenuhi;"
 kaca;  cermin; marhasa v bercermin; berkaca,hasa,hasa,Noun,domma ho marhasa ase misir? sudah	berkaca	kau	supaya berangkat?
bunyi hujan yang turun ke bumi,hasak,hasak,Noun,
kacang,hasang,hasaG,Noun,patar hasang ganjang ai utip ganup! kacang panjang itu kutip semua besok!;
kasar,hasar,hasar,Adjective,"domma sambor, hasar ma parlahouni sudah buruk, kasar pula kelakuannya"
sapu,hasei,hasEy,Noun,buat lobei hasei ase pansing alaman on! ambil dulu sapu agar bersih halaman ini!
sejenis kayu,hasia,hasiya,Noun,
kekasih,hasian,hasiyan,Noun,buah hati
perkakas tenun,hasiharan,hasiharan,Noun,guna hasiharan aima mambahen hiou perkakas tenun itu digunakan untuk membuat kain
pengganti; seperti,hasilian,hasiliyan,Particle,hamma huanggap hasilian ni inangku kaulah kuanggap seperti ibuku
gusi,hasiratan,hasiratan,Noun,
kawan,hasoman,hasOman,Noun,teman;
longsor,hasonor,hasOnOr,Verb,hasonor tanoh tanah longsor hasosombopan [hasOsOmbOpan] v
kencur,hasowor,hasOwOr,Noun,tuktuk lobei hasowor bahen tambarni! giling dulu kencur untuk obatnya!
kain merah,hasumba,hasumba,Noun,jomur lobei hiou hasumba ai! jemur dulu kain merah itu!
,hasundaran,hasundaran,Noun,
barat,hasundutan,hasundutan,Noun,mulai mardalan hu hasundutan baru torus hu hapoltakan mulai berjalan dari barat lalu ke timur
kesusahan,hasunsahan,hasussahan,Noun,bani lang iahankon ho sonaha hasunsahanku  sonari karena tidak kau rasakan bagaimana	kesusahanku sekarang
nama kayu,hasupat,hasupat,Noun,hayu hasupat marduri songon untei makmur kayu hasupat berduri seperti jeruk purut
satu per satu,hat,hat,Numeral,sali hat marhorja ihorjahon ase ulang merap pakorjaan  satu per satu kerja dikerjakan agar jangan campur pekerjaan
kata,hata,hata,Noun,bicara; hatahon v katakan; ihatai v dikatai; manghatai v mengatai;
aksara batak Simalungun yang bunyinya ei,hatalingan,hataliGan,Noun,
 arah matahari terbit  timur,hataran,hataran,Noun,hanpit hataran aima jumahu sebelah timur itulah ladangku
alat menjaga burung di ladang yang,hatarpok,hatarpOk,Noun,
nama sejenis kayu keras,hatarum,hatarum,Noun,hayu hatarum jenges tumang bani suhul pisou kayu hatarum bagus  betul untuk gagang pisau
kaktus,hatengget,hatEggEt,Noun,pas songon hatengget seng marbulung pas seperti kaktus tidak mempunyai daun
sejenis ulat,hatiboran,hatibOran,Noun,
sejenis kayu,hatilandou,hatilandOw,Noun,
ikat pinggang (yang di jalin dari  atau  helai benang berwarna- warni,hatimulmul,hatimulmul,Noun,
 semacam semut  rayap,hatinongnong,hatinOGnOG,Noun,marlubang-lubang lamari on ipangan hatinongnong lemari ini berlubang-lubang dimakan rayap
putar; humationg v berputar-putar,hationg,hatiyOG,Verb,humationg	lanog	marganup dongkei na masik ai lalat berputar-putar	mengerumuni bangkai itu
sejenis kain yang digunakan oleh perempuan Simalungun,hatirongga,hatirOGga,Noun,
pembantu,hatoban,hatOban,Noun,buruh;
per- kakas tenun,hatundalan,hatuddalan,Noun,
kusut (rambut tidak disisir),hatuyut,hatuyut,Adjective,hatuyut tumang jambulanni rambutnya kusut sekali
kaum haut [haut] n sangkut; kait,haum,haum,Noun,"ulang pala mabiar, hautma!"
kawan,hawan,hawan,Noun,ise do hawanmu nongkan ai hujon? siapa kawanmu yang tadi kemari?
gila,hawar,hawar,Adjective,dopma hawar ho in kamu itu sudah gila
tawar,hawar,hawar,Adjective,
berpindah- pindah,hawas,hawas,Verb,dong do da bintang par hawas ada bintang yang berpindah-pindah
kawat,hawat,hawat,Noun,buat lobei hawat! ambil dulu kawat!
anus,hayang,hayaG,Noun,pantat
galah,hayankayan,hayakkayan,Noun,buatma lobei hayan- kayan ai ase laho hita mam- buat potei! ambil dulu galah supaya berangkat kita meng- ambil petai!
tercampak,hayap,hayap,Verb,nantuari hayap au hun atas lereng saya tercampak dari atas sepeda semalam
mari,hayop,hayOp,Particle,"Saragih, hayop lobei! Saragih, mari dulu!"
kayu; batang,hayu,hayu,Noun,pajongkon hayu in bani tano! pancangkan kayu itu di tanah!; mangayuh v mengayuh;
kayuh,hayuh,hayuh,Noun,podas hayuh ase mardalan sampan on! cepat kayuh agar jalan sampan ini!
kais,hear,hEyar,Verb,
bersiap-siap; bergegas; berkemas-kemas,hebas,hEbas,Verb,"hebas ma ia, laho hu parpestaan berkemas-kemas dia hendak ke pesta"
bangga,hede,hEdE,Adjective,hede ia halani marbaju na bayu dia bangga karena baju baru
p he; hai,hei,hEi,Raya,"hei, aha do"
merusakkan diri sendiri; menghancurkan atau tidak menghargai diri sendiri,heja,hEja,Verb,heja do sonin pangulah ulah seperti itu merusakkan diri sendiri
menantu laki-laki,hela,hEla,Noun,
papan,helpat,hElpat,Noun,
pipih,helpat,hElpat,Adjective,
enak; sedap,helpu,hElpu,Adjective,haladi helpu daini keladi enak rasanya
kempis,helpus,hElpus,Adjective,helpus mando boltokku halani loheini peruntuku sudah kempis karena laparnya
hemat,hemat,hEmat,Adjective,
 lebar ,hembang,hEmbaG,Verb,
bulat,hemong,hEmOG,Adjective,hemong bahen songon guli! bulat buat seperti guli!
degil,hengkeng,hEkkEG,Adjective,keras kepala;
sibuk; tidak pernah diam,hensang,hEssaG,Adjective,hensang ia hu jai hujon dia sibuk ke sana ke mari
iring; marhentor	v	beriring,hentor,hEntOr,Verb,marhentor sidea roh mereka datang beriring
bergerak- gerak seperti binatang yang masuk ke dalam telinga,heorheor,hEOrhEOr,Verb,heorheor do hansa hugehkon ibagas pinggolhu bergerak- gerak saja kurasa dalam telingaku
kembang,hepar,hEpar,Verb,hepar borgokni ulog laho mamagut leher ular sendok kembang ketika mau mencatok
lancar berbicara; fasih,heper,hEpEr,Adjective,heper do ia massahapkon hata naso tongon dia lancar sekali membicarakan  yang tidak benar
cepat,hepes,hEpEs,Adjective,pardalanni hepes tumang jalannya cepat sekali
bentang; hampar; kembang; iherbangkon v dibentangkan,herbang,hErbaG,Verb,biasani iherbangkon do lobei hiou	in	sibolioni	biasanya dibentangkan	dulu		kainnya baru dibeli;
kera,hereh,hErEh,Noun,dong do hereh i juma nami ada kera di ladang kami
ramah,herek,hErEk,Adjective,ia memang herek tumang do bani sitoras konsi dia memang ramah betul kepada semua orang yang lebih tua dari dia
bujuk; manghesek		v	membujuk,hesek,hEsEk,Noun,sabar do ia manghesek rossi saud	dia	sabar		membujuk sampai berhasil
alat,heserheser,hEsErhEsEr,Noun,ia mambuat heser laho marlajar manembak dia membuat alat untuk belajar menembak
cepat,hetep,hEtEp,Adjective,titisni roh dokah in roh hetep mandarat bocornya semakin lama se- makin cepat keluar
latah,heter,hEtEr,Adjective,
sejenis burung,hetung,hEtuG,Noun,manuk-manuk hetung jarang dapot halak burung hetung jarang dapat orang
terbang,hiab,hiyab,Verb,"tonggor lobei, hiou mai hiab ibahen alogo! tengok dulu, kainmu itu terbang ditiup angin!"
berdiri,hiad,hiyad,Verb,seng ia hiad honsi be halani bosurni dia tidak sanggup lagi berdiri karena kekenyangan
melayang,hial,hiyal,Verb,seng tudas tinembak ai halani hial do timahni tembakan itu tidak tepat karena timahnya me- layang
kering,hiang,hiyaG,Adjective,demban ai hiang daun sirih itu kering
terbang,hiap,hiyap,Verb,
kocok,hiat,hiyat,Verb,
rakus,hidat,hidat,Adjective,ia hidat bani sipanganon dia rakus terhadap makanan
ulat yang ada dalam kepompong,hidhid,hithit,Noun,
bumbung tempat tuak,hidingan,hidiGan,Noun,buat lobei hujon hidingan ai ase maragat au! ambil dulu ke mari bumbung tempat tuak itu supaya menyadap nira saya!
kejap,hidop,hidOp,Noun,
mulia,hidorat,hidOrat,Adjective,gabe hidorat ho halani sonin kamu jadi mulia karena itu
"ulat (biasa terdapat pada batang kelapa, enau, dan rumbia, dapat di jadikan lauk- pauk",hidu,hidu,Noun,laho hita mangambe hidu baen antupni indahan! ayo kita mengambil ulat aren untuk lauk makan!
usus yang dijalin untuk dimasak,hiduhidu,hiduhidu,Noun,
terkejut,hidut,hidut,Verb,ahu hidut mangidah parlahouni aku terkejut melihat kelakuannya
tipu,hilang,hilaG,Noun,
kilat,hilap,hilap,Noun,anggo laho marhata	longgur	hilap	do parlobei kalau mau berbunyi gemuruh pasti didahului kilat; mangkilap v berkilat
heran; bingung,himong,himOG,Adjective,ia himong manonggor rupani dia heran melihat wajahnya; marhimong n kebingungan
kumpul,himpang,hippaG,Verb,berkumpul;
suka mengambil,himut,himut,Verb,si Jengkel himut duit agepe i ja diponapkon si Jengkel suka mengambil duit meskipun di mana saja disimpan
nama kampung,hinalang,hinalaG,Noun,"huta hinalang jumpah i Bangun Purba, Kabupaten	Simalungun kampung Hinalang terletak di Bangun Purba, Kabupaten Simalungun"
dahulu,hinan,hina:n,Noun,on hinan do na hupindohi ini dahulu yang kuminta;
 cekatan;  lancar  rajin;  giat,hinsah,hissah,Adjective,anggo ia hinsah tumang marhorja kalau dia cepat sekali bekerja
tiung,hiong,hiyOG,Noun,manuk- manuk hiong ai domma lamuk burung tiung itu sudah jinak
kain; sarung,hiou,hiyOw,Noun,inang mamboli hiou ibu membeli kain;
sehat,hipas,hipas,Adjective,waras; pahipaskon	v	menjadikan sehat
kipas,hipas,hipas,Noun,
alat pengipas,hipaskipas,hipaskipas,Noun,buat hipaskipas ai! ambil alat pengipas itu!
kira,hira,hira,Verb,duga;
asah,hirah,hirah,Verb,hirah lobei parang ai! asah dulu parang  itu!
kecewa,hiran,hiran,Adjective,ahu hiran roh hu rumahmu saya kecewa datang ke rumahmu
kerumun; marhirap		v	berkerumun karena diberi makanan (tentang binatang),hirap,hirap,Verb,marhirap	porkis bani gula in semut berkerumun di gula itu
kedip,hirdop,hirdop,Verb,
jemur,hirei,hirEy,Verb,
hina,hiri,hiri,Adjective,naiombahni hiri halani parlahou ni anakni orang tua hina karena kelakuan anaknya;
jangkrik,hirik,hirik,Noun,
kirim,hirim,hirim,Verb,
kejut,hirjat,hirjat,Adjective,kaget; manghirjati v mengejuti; panghirjati	n	orang	yang membuat kejutan;
nama sejenis tikus kecil,hirlang,hirlaG,Noun,
kuatkan hati; tekat,hirpas,hirpas,Verb,"hirpas malah uhurmu, ulang ragu-ragu! kuatkanlah hatimu, jangan ragu-ragu!"
belerang,hirtah,hirtah,Noun,anggo hirtah taranggoh bauni kalau belerang tercium baunya
,hirtap,hirtap,,kesoran
perkakas menangkap ikan,hisa,hisa,Noun,buatma lobei hisa ase laho hita! ambil dulu perkakas menangkap ikan biar berangkat kita!
kibaskan,hisab,hisab,Verb,baju na baru itaptapi hisab lobei ase ulang marlukluk baju yang  baru dicuci kibaskan dahulu supaya jangan bergulung- gulung
cepat,hisah,hisah,Adjective,anggo ia hisah tumang marlintun dia cepat sekali kalau berlari
rakus,hisap,hisap,Adjective,ia mangan hisap i bagasku nantuari dia makan rakus sekali di rumahku semalam
sigap,hisar,hisar,Adjective,hisar saotik anggo marhorja kalau bekerja sigap sedikit
sejenis rumput yang miangnya dapat menyebabkan gatal,hisik,hisik,Noun,
telah,hiskis,hiskis,Verb,si Bandul hiskis marjudi nantuari si Bandul telah berjudi semalam
cepat,hissan,hissan,Adjective,tangkas; segera
kita,hita,hita,Pronoun,patar hita laho hu Parapat kita pergi ke Parapat besok
tempat tuak sebagai pengganti gelas,hitang,hitaG,Noun,
bicara,hitei,hitEy,Noun,manghiteihon v membicara- kan;
titi; jembatan,hitei,hitEy,Noun,hitei ni bah ai jangin titi sungai itu mengerikan;
genit,hitil,hitil,Adjective,seng marosuh ahu mangidah halak na hitil aku tak suka melihat orang yang genit
gentar; takut,hitir,hitir,Adjective,anggo au otik pe lang hitir mangidah ia kalau aku sedikit pun tak gentar melihat dia;
burung beo; burung tiung,hiung,hiyuG,Noun,hiung nise do na maluah on? beo siapa yang lepas ini?
digeser dan di- serakkan dengan memakai alat,hiur,hiyur,Verb,hiur lobei bayani ase hupodar gadung on! geser dan serakkan dulu baranya supaya kubakar ubi ini!
a kering,hiang,hiyaG,Sipispis,
kau; anda,ho,hO,Pronoun,laho huja ho? mau ke mana kau?
kebal,hobal,hObal,Adjective,"songon bos ni si Mas, hobal seng mampan itobak seperti majikan si Mas, kebal tidak mempan ditikam"
n lumbung padi,hobang,hObaG,Sipispis,
rajin mengerjakan sesuatu,hobas,hO:bas,Adjective,
kerja,hobas,hObas,Noun,ihobashon v dikerjakan; marhobas v bekerja
lumbung,hobon,hObOn,Noun,omei on masukkon hu bagas hobon ai! tuangkan padi ini ke dalam lumbung itu!;
air yang tergenang,hobong,hObOG,Noun,i bagas hobong ai bahat tumang do payak di dalam air yang tergenang itu banyak sekali udang
sempit,hobot,hObOt,Adjective,lubang ai hobot tumang lubang itu sempit sekali
sakit kulit; hodalon v menderita sakit kulit,hodal,hOdal,Noun,halak na hodalon horjani garut-garut orang yang sakit kulit	kerjanya	menggaruk- garuk
kedai,hodei,hOdey,Noun,boli lobei rokok hu hodei ai! beli dulu rokok ke kedai itu!
tanggok,hodo,hOdO,Verb,
panas,hodog,hOdOg,Adjective,"au seng tahan bani rumah atap seng  on, hodog huahap aku tidak tahan di rumah atap seng ini, panas kurasa;"
pelepah,hodong,hOdOG,Noun,boban lobei hujon hodong galuh ai! bawa dulu ke mari pelepah pisang itu!
dedak,hodop,hOdOp,Noun,hanami mamboan hodop hu juma kami membawa dedak ke ladang
potong (pelepah aren),hodot,hOdOt,Verb,
kental,hoduh,hOduh,Adjective,kopi ni si Aman hoduh songon susu kopi si Aman kental seperti susu
tiruan bunyi napas orang yang kelelahan,hoih,hOwih,Noun,
lurut,hois,hOis,Verb,
jemur,hojah,hOjah,Verb,bah luan hojal nantuari hulu sungai kering kemarin
gemar; suka,hoji,hOji,Adjective,hoji tumang ahu minum bah ni halambir aku suka sekali minum air kelapa
tergesa-gesa,hojor,hOjOr,Verb,tergopoh-gopoh
depa,holag,hOlag,Noun,
alas,holam,hOlam,Noun,bahen holam ase ulang maborit  ulumu buat alas agar jangan sakit kepalamu
jarang; marpakholangi	a	jarang- jarang,holang,hOlaG,Adjective,marpakholangi	do parroh ni si Ali hujon si Ali jarang-jarang datang ke sini
lengkung,holbab,hOlbab,Adjective,songon holbab ni balanga seperti lengkung kuali
cekung,holbung,hOlbuG,Adjective,songon holbung ni balanga mando huyummu  pipimu seperti cekung kuali
sejenis kayu,holey,hOlEy,Noun,buatma hayu holey bani suhul ni piso min! ambillah kayu holei untuk gagang pisaumu itu!
dayung,holey,hOlEy,Noun,
paksa (usir); iholholi v dipaksa,holhol,hOlhOl,Verb,anggo seng iholholi i ja ra ia laho kalau tidak dipaksa mana mau dia pergi;
kikir,holit,hOlit,Noun,pelit;
sayang,holong,hOlOG,Adjective,kasih sayang;
keluh kesah,holsoh,hOlsOh,Noun,holsohan v berkeluh kesah; parholsoh n pengeluh
lelah dan lapar,holte,hOltE,Adjective,holte-holteon a kelelahan dan kelaparan	kembali	dari perjalanan jauh
sepotong bambu berbentuk pipa yang ke dalamnya dimasukkan tali pengikat ternak agar ternak tersebut tidak bisa menggigiti tali pengikatnya,holuran,hOluran,Noun,
pula; juga,homa,hOma,Adverb,sonaha halak sonai homa ia bagaimana orang begitu juga dia
kembang,hombang,hOmbaG,Verb,payung ai lang boi be hombang: payung itu tidak bisa lagi kembang;
berdekatan,hombar,hObbar,Adjective,ompung hombar pakon pahompuni nenek berdekatan dengan cucunya;
embun,hombun,hOmbun,Noun,borgok tumang do hombun sogot-sogot dingin sekali embun pagi-pagi
jin; hantu,homin,hOmin,Noun,"i gua ai dong do homin tapi seng jahat di gua itu ada jin, tetapi tidak jahat"
barang simpanan,homitan,hOmitan,Noun,i ja homitan mondi? di mana barang simpananmu yang dulu?
kena,hona,hOna,Verb,
nenas,honas,hOnas,Noun,ia mamboli honas natuari i tiga dia membeli nenas semalam di pasar
biru,honda,hOnda,Noun,bajuni honda rupani bajunya ber- warna biru
n pagar,hondar,hOndar,Raya,
"sejenis umbi yang mempunyai pokok seperti bengkuang tetapi berduri, biasa tumbuh di hutan",hondali,hOndali,Noun,boban hu jon hondali ai! bawa ke mari umbi itu!
labu,hondi,hOndi,Noun,holi mamboan hondi borasmi deba! nanti kau bawa labu juga berasnya!
pagar,hondor,hOndOr,Noun,juma ni si Ali hondor ni  gogoh ladang si Ali pagarnya kuat; manghondori v memagari; manghondorkon	v
semacam jurang,hondot,hOddOt,Noun,bagas tumang hondot
kendur,hondur,hOddur,Adjective,gogoh dokdok tali ai ase ulang hondur! tarik tali itu kuat-kuat agar jangan kendur!
kereta angkung (yang ditarik oleh manusia),hongkong,hOkkoG,Noun,holi naik hongkong ho kamu naik angkung nanti
kendur,honjor,hOjjOr,Adjective,tali nipasangmu nokkan honjortu tali yang kau pasang tadi kendur sekali
majal,honol,hOnOl,Adjective,parang ai honol tumang parang itu majal sekali
selam; manghonongi v menyelami,honong,hOnOG,Verb,manghonongi	unong menyelami lubuk;
konsep; manghonrap v mengonsep,honrap,hOnrap,Noun,ia manghonrap	surat	ia mengonsep surat;
begitu,honsa,hOssa,Pronoun,
baru,honsi,hOssi,Adjective,ahu das honsi hun juma aku baru sampai dari ladang
setelah,honsi,hOssi,Adjective,sesudah
henti,honti,hOnti,Noun,
berjalan ke sana ke mari,hontus,hOntus,Verb,hontus dassa horjani kerjanya ke sana ke mari saja
kotor (diucapkan kepada orang yang mukanya kotor),hopam,hOpam,Adjective,"Mila,  hopan ni bohi mindo Mila, kotor  benar mukamu itu"
kaleng,hopi,hOpi,Noun,buat lobei hopi ai! ambil dulu kaleng itu!
sempit,hopit,hOpit,Adjective,hopit do dalan laho jai ai jalan yang mau ke situ sempit
bela; mamhopkop	v		membela,hopkop,hOpkOp,Verb,"anggo	seng		halani	ia mamhopkop, hanami domma saud lehleh kalau tidak karena dia membela, sudah jadi kami lempar"
peluk,hopkop,hOpkOp,Verb,dekap; manghopkop v memeluk; manghopkopi v memeluki; marhopkop	v	berpeluk; berdekap;
bungkus; manghopoli v membungkus,hopol,hOpOl,Noun,manghopoli indahan inang ibu membungkus nasi
kepal,hopol,hOpOl,Noun,ihopol v dikepal; manghopol v mengepal; sanghopol n sekepal
ketat,hopos,hOpOs,Adjective,hopos bahen panrahut hambing ai! ketat buat pengikat kambing itu!
wadah (terbuat dari kulit kayu),hopuk,hOpuk,Noun,masukkon boras in hu bagas hopuk ai! masukkan beras ini ke dalam wadah itu!
kata yang tidak berbobot,hopur,hOpur,Noun,seng do  hopur hatami kata-katamu itu tidak berbobot
panjang (umur),hor,hOr,Noun,hor hosah panjang umur
tenaga,horak,hOrak,Noun,"seng dong horak manganghat halani domma tua ia karena sudah tua, dia tidak ada tenaga untuk mengangkat"
kerang,horang,hOraG,Noun,holi mamboli horang ho hu poken kamu membeli kerang ke  pekan nanti
dengan,horap,hOrap,Particle,horap ise do ho nongkan ai?  dengan siapa kamu tadi?
selamat,horas,hOras,Noun,ucapan selamat dan berbahagia yang biasa dipakai oleh orang Batak saat bertemu dengan orang lain; manghorasi v memberi ucapan selamat;
kerat,horat,hOrat,Verb,
gerbang,horbangan,hOrbaGan,Noun,holi ho manjaga i  horbangan ai kamu menjaga di gerbang itu nanti
kerbau,horbou,hOrbO,Noun,"horbou ni lima domma torasan kerbaunya lima yang sudah tua; songon horbou si halung, pb seperti kerbau bertanduk dua, orang yang tidak punya pendirian;"
cangkul kecil,hori,hori,Noun,
giliran,horin,horin,Noun,si Eka horin do mardahan bodari on giliran si Eka memasak malam ini
kering,horing,hOriG,Adjective,kolamni domma dokah horing halani seng iisi bah kolamnya sudah lama kering karena tak diisi air
keris,horis,hOris,Noun,ia dapotan horis i kuburan ni ompung in dia mendapat keris di kuburan neneknya
kerja,horja,hOrja,Noun,horjaon n pekerjaan; horjahon v kerjakan; ihorjahon v dikerjakan;
pesta,horja,hOrja,Noun,
kering sekali,horjal,hOrjal,Adjective,sabahmi horjal halani dokah malang roh udan sawahnya kering sekali karena  sudah lama tak datang hujan
nyanyian orang yang mengasuh bayi,horleito,hOrlEytO,Noun,
mendung,horlom,hOrlOm,Adjective,horlom langit sadari on langit mendung satu hari ini
hormat,hormat,hOrmat,Adjective,"agape sonai, hormat do ia bani na matorasni biarpun begitu, dia hormat juga kepada orang tuanya"
tenaga,horok,hOrOk,Noun,
iris,horot,hOrOt,Verb,horot hawei in ase gorgori bahen indahanni babui! iris keladi itu supaya digodok untuk nasi babi!
kerat,horot,hOrOt,Verb,ihorot v dikerat; manghorot v mengerat; sanghorot v sekerat
kasar,horsang,hOrsaG,Adjective,horsang tumang horotanni timbahou ai irisan tembakau itu kasar sekali
pasir,horsik,hOrsik,Noun,tolu bantei horsik pasir tiga bakul; marhorsik v berpasir
kurus kering,hortang,hOrtaG,Adjective,hortang ni angkulamin badanmu kurus kering
kertas,hortas,hOrtas,Noun,bahat tumang hortas i rumahni banyak sekali kertas di rumahnya
tidak dapat,hortou,hOrtOw,Adverb,anggo dokah ho hortou mada kalau lama kamu tidak dapat bagian
dukacita,horu,hOru,Noun,bersedih hati;
ramai,horuh,hOruh,Adjective,"aturan horuh ma pesta ai, hape lang pesta itu semestinya ramai, tetapi ternyata tidak"
tali penjahit tangan diambil dari kulit batang se- jenis pohon,horui,hOrui,Noun,
berlilit,horung,hOruG,Verb,borgok ni dayok ai horung ben tali leher ayam itu berlilit tali
semacam pakaian anak-anak terletak pada leher,horungkorung,hOrukkOruG,Noun,jenges tumang	horungkorung dakdanak ai cantik benar horungkorung anak-anak itu
habis,horus,hOrus,Verb,hanupan indahan horus sahalakni ipangan semua nasi habis dimakan sendiri;
gigit,horut,hOrut,Verb,
napas,hosah,hOsah,Noun,
bawang,hosaya,hOsaya,Noun,mahal tumang hosaya anggo mamboli hita i kodei mahal sekali bawang kalau kita beli di kedai
resah,hose,hosE,Adjective,gelisah;
putar,hosing,hOsiG,Verb,
asma; bengek,hosong,hOsOG,Noun,halak naborit hosong seng tahan marlintun orang sakit bengek tidak tahan berlari
rimbun,hotab,hOtab,Adjective,buah ai hotab tumang  bulungni beringin itu rimbun betul daunnya
